feature,importance
<<<<<<< HEAD
sharpe_naive,0.6597919664024894
sharpe_cov,0.267007984188086
sigma_w,0.04712643362299676
port_var,0.005571622484994816
port_std,0.005556381938971142
w_in_top_quartile,0.003980593864221623
w_in_bottom_quartile,0.0027142592671472125
mu_w,0.0021189804445948964
corr_mean_w,0.0017953728794337866
w_max,0.0014698112516213988
entropy,0.0010078650803446638
n_effective,0.0007006919179891332
w_min,0.0005506698729039071
w_std,0.00031792728689954033
herfindahl,0.00028943949730581546
=======
sharpe_naive,0.7424291776530354
sharpe_cov,0.17868591995762276
sigma_w,0.05083238163603927
port_std,0.006742180656603186
port_var,0.006707087392365471
w_in_top_quartile,0.004322624551569718
w_in_bottom_quartile,0.0020170443362638067
w_min,0.0017629054132885444
corr_mean_w,0.0015980780420789239
mu_w,0.001459777200133171
w_max,0.0012981353635946329
entropy,0.0009067130614861175
n_effective,0.0004981615584875328
w_std,0.00039158311402869234
herfindahl,0.0003482300634028803
>>>>>>> de259ae75e1500ab0a758ae8c35d6ed7d4e609b7
