Date,AAPL,MSFT,NVDA,GOOGL,AVGO,AMD,ORCL,ADBE,JPM,V,MA,BAC,GS,MS,BLK,AXP,UNH,LLY,JNJ,PFE,TMO,AMZN,HD,MCD,NKE,PG,KO,WMT,XOM,CVX,TPL,SLB,MPC,RTX,LMT,NOC,GD,BA,HON,CAT,DE,UPS,NFLX,TMUS,DIS,NEE,AEP,AMT,PLD
2018-01-02,40.267066955566406,78.69989013671875,4.928267478942871,53.22063064575195,21.08666229248047,10.979999542236328,41.10761260986328,177.6999969482422,85.90126037597656,107.88826751708984,144.80929565429688,24.63749885559082,213.1442718505859,40.62141799926758,414.357177734375,88.29241180419922,193.0904541015625,74.89777374267578,110.76417541503906,23.44344139099121,188.75537109375,59.45050048828125,153.7929229736328,142.7815399169922,56.92670822143555,72.28070068359375,35.25034713745117,28.80023956298828,58.18549346923828,88.64048767089844,45.47266387939453,54.93655014038086,51.82368469238281,66.36859893798828,255.92576599121097,267.0559997558594,165.74343872070312,282.8864440917969,116.44698333740234,131.29388427734375,139.83770751953125,88.35177612304688,20.10700035095215,61.5733528137207,106.22453308105467,31.563596725463867,53.711307525634766,113.83446502685548,50.86141586303711
2018-01-03,40.26005935668945,79.06617736816406,5.252614498138428,54.128623962402344,21.31726455688477,11.550000190734863,42.059715270996094,181.0399932861328,85.98880767822266,108.9623031616211,146.63003540039062,24.555095672607425,211.16014099121097,40.730411529541016,418.7290344238281,88.8367691040039,195.11599731445312,75.30464172363281,111.82225036621094,23.617149353027344,192.21788024902344,60.209999084472656,154.59446716308594,142.17984008789062,56.9177360534668,72.19300842285156,35.17295455932617,29.05146217346191,59.32826232910156,89.28666687011719,44.7302360534668,56.36686325073242,52.92681121826172,67.3421859741211,258.0708923339844,268.2897033691406,166.77682495117188,283.80126953125,115.48486328125,131.4945526123047,140.474853515625,90.3092803955078,20.5049991607666,61.159915924072266,106.68058776855467,30.894027709960938,53.25883102416992,114.278076171875,50.76607131958008
2018-01-04,40.44706344604492,79.76205444335938,5.280302047729492,54.338890075683594,21.324365615844727,12.119999885559082,42.47405624389648,183.22000122070312,87.22064208984375,109.3674545288086,148.52699279785156,24.87645721435547,214.11131286621097,41.35306167602539,424.2568054199219,90.31439208984376,195.962890625,75.64073181152344,111.8143081665039,23.668611526489254,194.6239776611328,60.47949981689453,155.82131958007812,143.17718505859375,56.881858825683594,72.70330047607422,35.668338775634766,29.077749252319336,59.41037368774414,89.00872802734375,44.7865104675293,57.76555252075195,52.980804443359375,67.55451202392578,262.4977111816406,269.9518737792969,169.64549255371094,282.724365234375,117.04546356201172,133.30044555664062,141.2802276611328,90.89508819580078,20.562999725341797,60.57340240478515,106.63308715820312,30.735273361206055,52.62832260131836,112.60843658447266,49.749000549316406
2018-01-05,40.90757751464844,80.75096130371094,5.325048923492432,55.05943298339844,21.45072555541992,11.880000114440918,42.72971725463867,185.33999633789065,86.66070556640625,111.9867172241211,151.60598754882812,24.991811752319336,213.01919555664065,41.33749771118164,427.87152099609375,90.5203628540039,199.69967651367188,76.5694351196289,112.73716735839844,23.71364402770996,197.95936584472656,61.457000732421875,157.44895935058594,143.46572875976562,57.366058349609375,72.75115966796875,35.66059875488281,29.250112533569336,59.36247253417969,88.86285400390625,44.537723541259766,58.16067123413086,53.48994064331055,68.13448333740234,264.8759765625,269.66314697265625,169.2238311767578,294.32232666015625,117.86360931396484,135.40736389160156,141.8820343017578,91.17371368408205,20.999000549316406,62.11178207397461,106.05350494384766,30.875717163085938,52.51707458496094,113.33435821533205,49.70926284790039
2018-01-08,40.755619049072266,80.8333511352539,5.488212585449219,55.25382614135742,21.50205993652344,12.279999732971191,43.17931365966797,185.0399932861328,86.7886962890625,112.4389419555664,152.06430053710938,24.818777084350582,209.92630004882812,41.166263580322266,431.062744140625,89.68753051757812,196.2335662841797,76.1802749633789,112.88033294677734,23.449878692626953,198.2821502685547,62.34349822998047,157.07276916503906,143.3667755126953,57.87713623046875,73.13386535644531,35.606422424316406,29.682435989379883,59.62934112548828,89.30056762695312,47.51237106323242,59.10896682739258,53.52851486206055,68.78179168701172,263.6546936035156,269.6982421875,169.2238311767578,295.5707702636719,117.22728729248048,138.80999755859375,142.58114624023438,92.28107452392578,21.204999923706055,62.59252166748047,104.53328704833984,31.130107879638672,52.97695541381836,114.54427337646484,50.2893180847168
2018-01-09,40.750953674316406,80.77841186523438,5.486729621887207,55.18341064453125,21.20433235168457,11.81999969482422,43.41826248168945,186.6999969482422,87.22865295410156,112.22223663330078,152.28390502929688,24.942373275756836,211.7019805908203,41.48537826538086,434.6855773925781,90.01885223388672,197.21141052246097,76.11836242675781,114.67035675048828,23.42414093017578,201.58816528320312,62.6349983215332,157.9397430419922,143.04530334472656,57.46466827392578,72.59967041015625,35.784446716308594,29.326047897338867,59.37616729736328,88.82113647460938,49.52046585083008,59.187965393066406,53.2276611328125,69.5326919555664,265.54278564453125,271.561767578125,170.1992950439453,303.4615173339844,118.18944549560548,139.1444549560547,146.55477905273438,92.23819732666016,20.930999755859375,63.073265075683594,104.45728302001952,30.90217399597168,52.35388946533203,113.76992797851562,49.780784606933594
2018-01-10,40.741600036621094,80.41219329833984,5.529744625091553,55.051998138427734,20.756553649902344,11.960000038146973,43.18817138671875,187.11000061035156,88.18852996826172,112.09978485107422,152.6276092529297,25.173091888427734,212.0271148681641,41.975738525390625,432.756103515625,90.64573669433594,195.74465942382812,76.15373229980469,114.53510284423828,23.462738037109375,201.7740020751953,62.71649932861328,156.87640380859375,143.0205841064453,57.58124542236328,72.13716125488281,35.66059875488281,29.1157283782959,58.90400314331055,89.390869140625,49.57476806640625,59.74113082885742,53.621097564697266,69.85897064208984,265.9765930175781,269.1295166015625,169.26513671875,305.20550537109375,119.007568359375,138.67628479003906,145.9706573486328,92.72398376464844,21.25200080871582,61.42912292480469,104.0107192993164,30.64776611328125,51.552764892578125,110.9952621459961,48.8193244934082
2018-01-11,40.973026275634766,80.6502456665039,5.539632320404053,55.14671325683594,20.809467315673828,12.140000343322754,43.320919036865234,188.9199981689453,88.66048431396484,112.91004180908205,153.63966369628906,25.263734817504883,212.6941070556641,42.18588638305664,437.9257507324219,90.2069091796875,196.7835693359375,76.41024017333984,115.18741607666016,23.520647048950195,204.09214782714844,63.83399963378906,159.2320098876953,142.92166137695312,57.644004821777344,71.88204193115234,35.637386322021484,29.21795654296875,59.48567581176758,92.10749053955078,53.489295959472656,60.88694763183594,54.19194030761719,69.90557861328125,266.0409851074219,270.82684326171875,169.8934326171875,312.6960144042969,119.63633728027344,141.46029663085938,148.2008819580078,95.34590911865234,21.724000930786133,61.38105773925781,105.4549331665039,30.629451751708984,50.98161315917969,108.86585235595705,48.98619079589844
2018-01-12,41.3961181640625,82.0420150756836,5.5124406814575195,56.069091796875,20.87185287475586,12.020000457763672,43.8165168762207,195.0500030517578,90.12425994873048,113.14556884765624,154.98587036132812,25.700450897216797,214.2780609130859,42.90195083618164,452.26214599609375,90.421875,199.62107849121097,76.93209075927734,115.95907592773438,23.50778007507324,205.5690460205078,65.26000213623047,160.65525817871094,143.070068359375,57.98472213745117,71.45145416259766,35.722530364990234,29.466272354125977,59.88938903808594,92.82310485839844,52.13278579711914,61.613956451416016,55.09449005126953,70.72895050048828,270.1545104980469,275.7262268066406,174.09303283691406,320.4057312011719,120.5075912475586,142.37998962402344,149.82920837402344,95.79600524902344,22.12299919128418,61.22721862792969,106.86111450195312,30.592811584472656,50.0395622253418,107.27684020996094,49.14510726928711
2018-01-16,41.18574523925781,80.89744567871094,5.441488742828369,56.071571350097656,20.789724349975582,11.90999984741211,43.887306213378906,192.4600067138672,89.80431365966797,113.4281997680664,154.94769287109375,25.741653442382812,215.4701385498047,42.49721145629883,458.3436584472656,89.85765838623047,203.3404541015625,75.43733215332031,116.83423614501952,23.54637336730957,203.456298828125,65.24299621582031,160.56524658203125,143.1607208251953,56.86394119262695,71.9378433227539,36.016658782958984,29.4136905670166,59.51301956176758,91.7183837890625,51.15045166015625,60.98179626464844,54.600772857666016,69.3773422241211,265.2214050292969,273.44281005859375,170.57138061523438,319.4051208496094,119.6136703491211,141.55226135253906,148.27169799804688,94.93154907226562,22.152999877929688,60.54457092285156,105.16988372802734,30.637592315673828,50.069236755371094,109.39822387695312,49.37554168701172
